index,period_bin,radius_bin,period,radius_earth,t0,b,rp_rs,a_rs,duration,u1,u2,recovered,match,n_transits_in_data,found_period,found_t0,found_depth,found_sde,found_snr,found_detected,found_brightening_ratio,n_detections,n_skipped_variability,skipped_variability_at_period,runtime_s
806,1,3,0.8235668247145671,1.868578580891291,1325.372667577042,0.34774216890962223,0.02428319517934284,4.719215216645004,0.05404687523260249,0.4,0.2,True,exact,64,0.8235767437231573,1354.1968192845193,0.0006074711400920751,18.582090643279674,58.66087837486951,True,0.03326903147159864,1,0,False,13.000082152000687
807,1,3,1.1883707468760525,2.0565372110022406,1326.4452789228476,0.2518335484315537,0.02672581982852886,6.026130365162849,0.06282356758500611,0.4,0.2,True,exact,42,1.1883584271987129,1353.7774447881125,0.0007559998736414997,15.808876712153193,59.99969641426409,True,0.0521668650848442,1,0,False,12.606326479999552
808,1,3,1.1489667076828416,2.008836315214455,1325.632122304733,0.7359790545996434,0.02610592073812412,5.892173377173209,0.04484281015048676,0.4,0.2,True,exact,46,1.1489820933042998,1354.3562767326496,0.0006482637394782387,17.003634349132067,50.2234665600486,True,0.062024902851852776,1,0,False,12.980811198001902
810,1,3,1.0475955436094784,2.1671786229983807,1325.8852554687703,0.09581291800298691,0.028163665167170608,5.540296180865337,0.06197941863421521,0.4,0.2,True,exact,51,1.0475413191349832,1354.1702228291865,0.0008261224085757135,16.372560713038794,75.21115453332447,True,0.040957010909879264,1,0,False,12.404983870997967
809,1,3,1.1245968144686707,2.330334829902759,1325.3739389942414,0.8542109695267813,0.030283968834084338,5.808559649562055,0.03595012495038159,0.4,0.2,True,exact,45,1.1246065120971855,1354.6130952770686,0.0007584950551557945,19.048861184978293,49.36705463082438,True,0.04705704486726078,1,0,False,13.126455271998566
811,1,3,0.8570466551872624,2.2827026566302413,1325.5111207569041,0.8110322687123298,0.029664962830151062,4.846261714650985,0.03632864260509286,0.4,0.2,True,exact,59,0.8570465098432342,1353.793490995702,0.0007514322524692085,20.076042404305827,60.201899925958315,True,0.04107370619813847,1,0,False,12.588527530002466
812,1,3,1.1050191491878028,2.1551311852704407,1326.166493766873,0.17175916831509588,0.028007102160000203,5.740949901403595,0.062454415170462824,0.4,0.2,True,exact,48,1.1050256563417389,1353.7915454960855,0.0008160475115084331,16.35818991709335,68.84674181664589,True,0.04332873941191358,1,0,False,12.907809715001349
813,1,3,1.2510082590169216,1.9520984079626091,1326.5442626018842,0.08478937340688224,0.025368580767542396,6.236065558307843,0.06555309121467343,0.4,0.2,True,exact,39,1.251079693055661,1354.0666104597665,0.0006726413048872004,15.593832906583543,48.17281350104074,True,0.09045726403728671,1,1,False,12.800021242001094
814,1,3,1.1134559869275928,2.1158655102415085,1325.462399820821,0.6382656423189617,0.027496823352179657,5.770134334872731,0.04992963618484522,0.4,0.2,True,exact,48,1.1134382258882503,1354.4115870231365,0.000740230487157767,16.823146282584297,60.26589855067209,True,0.050070064485167154,1,0,False,13.02762661000088
815,1,3,1.0798303901540405,1.8430032536022525,1325.8359101311626,0.09467098715398706,0.023950829888053318,5.653372276410929,0.06233864842638277,0.4,0.2,True,exact,47,1.0798472288014056,1353.9118539113786,0.0005974817928401377,16.702736167112764,50.01673880835543,True,0.052737442321168296,1,1,False,12.922783543002879
